,QL,BM25,SDM
642,0.1608,0.1098,0.1831
643,0.3210,0.0490,0.2520
644,0.2097,0.1494,0.1530
645,0.6183,0.0440,0.6014
646,0.1944,0.0006,0.1947
647,0.2288,0.1085,0.2376
648,0.3809,0.0000,0.5234
649,0.7134,0.0493,0.6334
650,0.0902,0.0000,0.0906
651,0.0365,0.0000,0.0267
652,0.3038,0.2902,0.3031
653,0.5512,0.4129,0.5212
654,0.3815,0.0000,0.4204
655,0.0021,0.0000,0.0025
656,0.4314,0.0061,0.4692
657,0.4113,0.0000,0.4263
658,0.0789,0.0035,0.0913
659,0.3146,0.0275,0.1906
660,0.6547,0.1946,0.6036
661,0.5996,0.5878,0.5799
662,0.2748,0.2623,0.2724
663,0.3775,0.0059,0.5288
664,0.3425,0.0000,0.5527
665,0.2054,0.0041,0.1974
666,0.0162,0.0000,0.0841
667,0.3389,0.2738,0.3824
668,0.3335,0.0021,0.2809
669,0.1474,0.0078,0.1508
670,0.1120,0.0000,0.1066
671,0.2649,0.0294,0.3915
673,0.3295,0.0145,0.2227
674,0.1378,0.1419,0.1342
675,0.3446,0.0024,0.4443
676,0.2332,0.2084,0.2127
677,0.8353,0.2597,0.7796
678,0.1940,0.0000,0.2335
679,0.8965,0.0000,0.8734
680,0.0708,0.0000,0.0782
681,0.4423,0.0703,0.5779
682,0.2633,0.0034,0.2689
683,0.0270,0.0096,0.0258
684,0.0946,0.0000,0.1676
685,0.1767,0.0540,0.1081
686,0.2555,0.0158,0.2469
687,0.1969,0.0008,0.1937
688,0.1007,0.0000,0.0877
689,0.0556,0.0000,0.1059
690,0.0024,0.0001,0.0062
691,0.2887,0.0001,0.2878
692,0.3928,0.2334,0.3611
693,0.2960,0.0302,0.2263
694,0.5099,0.5808,0.4814
695,0.2658,0.0002,0.2014
696,0.2765,0.0000,0.2645
697,0.2663,0.0006,0.2742
698,0.5231,0.0261,0.3995
699,0.2522,0.0000,0.4302
700,0.2226,0.0075,0.4970
all,0.2517,0.0766,0.2586
